Radar Station | produced by | National Film Board of Canada
West Bloomfield High School | is a | public secondary school
West Bloomfield High School | has enrollment | about 1900
West Bloomfield High School | previously located in | Abbott Middle School building
West Bloomfield High School | temporarily located at | Orchard Lake Middle School site
West Bloomfield High School | current building built in | 1971
West Bloomfield High School | offers | Advanced Placement International Diploma
West Bloomfield High School | established | additional Advanced Placement courses
Patrick Henry High School | located in | Hanover County
Patrick Henry High School | is part of | Hanover County high schools
Patrick Henry High School | founded in | 1959
Patrick Henry High School | formed by consolidation of | Beaverdam High School
Patrick Henry High School | formed by consolidation of | Henry Clay High School
Patrick Henry High School | formed by consolidation of | Montpelier High School
Patrick Henry High School | formed by consolidation of | Rockville High School
Patrick Henry High School | originally enrolled | grades eight through twelve
Patrick Henry High School | named after | Patrick Henry
Patrick Henry High School | has literary publication | The Voice
Patrick Henry High School | has literary publication | The Spark
Patrick Henry High School | has literary publication | The Orator
Patrick Henry High School | merged with | John M. Gandy High School
Patrick Henry High School | became | senior high school
Patrick Henry High School | currently enrolls | grades eight through twelve
West Patrick Henry Road | has | school campus
school campus | consists of | complex of buildings
school campus | underwent renovations | media center and administrative offices
school campus | became | all-enclosed facility
school campus | underwent addition/renovation | in fall of 2001
addition/renovation | provided | state-of-the-art career and technical education opportunities
Patrick Henry | celebrated | 50th anniversary in September 2009
Patrick Henry High School | has | International Baccalaureate program
Patrick Henry High School | has | NJROTC program
Patrick Henry High School | is known for | NJROTC program
NJROTC program | is ranked among | top in the state of Virginia
Patrick Henry High School | introduced | Rachel's Challenge during 2010-2011 school year
Patrick Henry High School | is noted for | theatre program
Chris Barnes | 国籍 | American
Chris Barnes | 职业 | professional bowler
Chris Barnes | 所属组织 | Professional Bowlers Association  Tour
Chris Barnes | 毕业院校 | Topeka High School
Chris Barnes | 毕业院校 | Wichita State University
Chris Barnes | 学位 | Bachelor of Arts
Chris Barnes | 专业 | Business Management
Chris Barnes | 曾属组织 | Team USA
Louis Armstrong Hot Five and Hot Seven Sessions | 录制时间 | 1925-1928
Louis Armstrong Hot Five and Hot Seven Sessions | 录制者 | Louis Armstrong
Louis Armstrong Hot Five and Hot Seven Sessions | 所属团体 | Hot Five
Louis Armstrong Hot Five and Hot Seven Sessions | 所属团体 | Hot Seven
Louis Armstrong | 历史地位 | jazz's first great soloist
Louis Armstrong | 历史地位 | American music's most important and influential figures
Louis Armstrong Hot Five and Hot Seven Sessions | 艺术价值 | set a standard musicians still strive to equal in their beauty and innovation
Louis Armstrong Hot Five and Hot Seven Sessions | 入选机构 | National Recording Registry
Louis Armstrong Hot Five and Hot Seven Sessions | 入选时间 | 2002
National Recording Registry | 成立时间 | 2002
Ella Fitzgerald | ethnicity | African-American
Ella Fitzgerald | profession | jazz singer
Ella Fitzgerald | nickname | First Lady of Song
Ella Fitzgerald | nickname | Queen of Jazz
Ella Fitzgerald | nickname | Lady Ella
Ella Fitzgerald | known for | purity of tone
Ella Fitzgerald | known for | impeccable diction
Ella Fitzgerald | known for | phrasing and intonation
Ella Fitzgerald | known for | horn-like improvisational ability
Ella Fitzgerald | known for | scat singing
Louis Armstrong New Orleans International Airport | IATA code | MSY
Louis Armstrong New Orleans International Airport | ICAO code | KMSY
Louis Armstrong New Orleans International Airport | FAA LID | MSY
Louis Armstrong New Orleans International Airport | country | United States
Louis Armstrong New Orleans International Airport | owner | city of New Orleans
Louis Armstrong New Orleans International Airport | distance from | downtown New Orleans
Louis Armstrong New Orleans International Airport | partially located in | unincorporated St. Charles Parish
Louis Armstrong New Orleans International Airport | primary airport for | New Orleans metropolitan area
Louis Armstrong New Orleans International Airport | primary airport for | southeast Louisiana
Louis Armstrong New Orleans International Airport | former name | Moisant Field
Louis Armstrong New Orleans International Airport | also known as | New Orleans International Airport
Heebie Jeebies | composed by | Boyd Atkins
Heebie Jeebies | recorded by | Louis Armstrong
Louis Armstrong | performed with | Hot Five
Louis Armstrong | featured | scat singing
Sweet and Low | starred | James Barton
Sweet and Low | starred | Fannie Brice
Sweet and Low | starred | George Jessel
Ella Fitzgerald | accompanied by | Dave Barbour Orchestra
Louis Armstrong Plays W. C. Handy | creator | Louis Armstrong and His All Stars
Louis Armstrong Plays W. C. Handy | release year | 1954
Louis Armstrong Plays W. C. Handy | described as | Louis Armstrong's finest record of the 1950s
Louis Armstrong Plays W. C. Handy | described as | essential music for all serious jazz collections
Columbia CD | released | Louis Armstrong Plays W. C. Handy
Columbia CD | release year | 1986
Columbia CD | re-issued | Louis Armstrong Plays W. C. Handy
Columbia CD | re-issue year | 1997
1997 re-issue | includes | additional tracks
additional tracks | includes | brief interview by George Avakian with W. C. Handy
additional tracks | includes | joke told by Louis Armstrong
additional tracks | includes | several rehearsal versions of the songs
George Avakian | role | producer
Louis Armstrong Hot Five and Hot Seven Sessions | recorded for | Okeh Records
Louis Armstrong Hot Five and Hot Seven Sessions | recorded in | May 1927
Johnny Dodds | played | clarinet
Lil Armstrong | played | piano
Johnny St. Cyr | played | banjo and guitar
Baby Dodds | played | drummer
Pete Briggs | played | tuba
John | played | trombone
John | replaced | Kid Ory
Kid Ory | touring with | King Oliver
Pete Briggs | worked with | Sunset Stompers
John | worked with | Sunset Stompers
Sunset Stompers | performing group of | Louis Armstrong
Saint Louis Blues | composed by | W. C. Handy
Saint Louis Blues | genre | blues
Saint Louis Blues | published in | September 1914
Saint Louis Blues | part of | jazz musicians' repertoire
Saint Louis Blues | success as | pop song
Saint Louis Blues | performed by | Louis Armstrong
Saint Louis Blues | performed by | Bessie Smith
Saint Louis Blues | performed by | Count Basie
Saint Louis Blues | performed by | Glenn Miller
Saint Louis Blues | performed by | Guy Lombardo
Saint Louis Blues | performed by | Boston Pops Orchestra
Saint Louis Blues | nickname | the jazzman's "Hamlet
Bessie Smith | collaborated with | Louis Armstrong
Bessie Smith | instrument | cornet
Saint Louis Blues | inducted into | Grammy Hall of Fame
Saint Louis Blues | induction year | 1992
Saint Louis Blues | induction year | 2008
Louis Armstrong | collaborated with | Red Allen
Potato Head Blues | composed by | Louis Armstrong
Potato Head Blues | recorded by | Louis Armstrong Hot Five and Hot Seven Sessions
Potato Head Blues | record label | Okeh Records
Louis Armstrong Hot Five and Hot Seven Sessions | expanded from | Hot Five
Louis Armstrong Hot Five and Hot Seven Sessions | additional instruments | tuba and drums
Louis Armstrong Hot Five and Hot Seven Sessions | recorded | twelve sides
Danny Barcelona | 职业 | 爵士鼓手
Danny Barcelona | 合作对象 | Louis Armstrong and His All Stars
Danny Barcelona | 民族 | 菲律宾裔美国人
Danny Barcelona | 出生地 | Waipahu
Waipahu | 属于 | Honolulu
Honolulu | 属于 | Hawaii
Louis Armstrong | 称呼 | The Little Filipino Boy
Louis Armstrong | 自称 | the little Arabian boy
Seven Faces | 类型 | 剧情片
Seven Faces | 包含元素 | 奇幻
Seven Faces | 发行公司 | Fox Film Corporation
Seven Faces | 基于作品 | A Friend of Napoleon
A Friend of Napoleon | 作者 | Richard Connell
Richard Connell | 知名作品 | The Most Dangerous Game
Seven Faces | 导演 | Berthold Viertel
Seven Faces | 主演 | Paul Muni
Seven Faces | 状态 | 失传电影
Patrick Burns | 职业 | paranormal investigator
Patrick Burns | 出生年份 | 1968
Patrick Burns | 国籍 | American
Patrick Burns | 主演 | Haunting Evidence
Patrick Burns | 创立 | Ghost Hounds
Ghost Hounds | 被报道 | Interact Atlanta - 'Ghost Hounds'
Patrick Burns | 组织 | Ghostock
Patrick Burns | 职业 | professional photographer
Thrill of a Romance | 类型 | silent romance film
Thrill of a Romance | 发行公司 | Metro-Goldwyn-Mayer
Thrill of a Romance | 上映年份 | 1945
Thrill of a Romance | 主演 | Van Johnson
Thrill of a Romance | 主演 | Esther Williams
Thrill of a Romance | 主演 | Carleton G. Young
Thrill of a Romance | 音乐表演 | Lauritz Melchior
Thrill of a Romance | 导演 | Richard Thorpe
Thrill of a Romance | 编剧 | Richard Connell
Thrill of a Romance | 编剧 | Gladys Lehman
The Most Dangerous Game | alternative title | The Hounds of Zaroff
The Most Dangerous Game | author | Richard Connell
The Most Dangerous Game | published in | Collier's
The Most Dangerous Game | main character | big-game hunter from New York City
big-game hunter from New York City | strands on | isolated island in the Caribbean
big-game hunter from New York City | hunted by | Russian aristocrat
The Most Dangerous Game | inspired by | big-game hunting safaris in Africa and South America
big-game hunting safaris in Africa and South America | popular among | wealthy Americans in the 1920s
Cuthy Mede | 国籍 | Malawian
Cuthy Mede | 职业 | artist
Cuthy Mede | 出生地 | Likoma Island
Cuthy Mede | 教育经历 | Chancellor College
Cuthy Mede | 职业经历 | lecturer at Chancellor College
Cuthy Mede | 创立 | Gallerie Africaine
Gallerie Africaine | 位置 | Lilongwe City Centre
Gallerie Africaine | 性质 | first art gallery by a local artist in Malawi
Cuthy Mede | 艺术风格 | modern
Cuthy Mede | 艺术风格 | futurist
Cuthy Mede | 艺术风格 | cubist
Cuthy Mede | 艺术风格 | pointillist
Cuthy Mede | 艺术主题 | strong local themes
Cuthy Mede | 贡献 | development and promotion of Malawian art
Cuthy Mede | 支持 | young Malawian artists
Cuthy Mede | 展示 | other Malawian artists' work
Cuthy Mede | 创作 | large mural decorating the City Centre
Mede | 绘画主题 | 当地人民
Mede | 绘画主题 | 历史事件
Mede | 绘画主题 | 当前事件
Mede | 绘画主题 | 圣经参考
Mede | 绘画主题 | 土著宗教表达
Mede | 绘画主题 | 抽象概念
Mede | 绘画主题 | 饥荒
Mede | 绘画主题 | 莫桑比克内战难民
Mede | 绘画主题 | 投票与民主
Mede | 绘画主题 | 婚礼庆典
Mede | 绘画主题 | 灵魂与附身
Mede | 绘画主题 | Nyau假面舞会
Mede | 创作风格 | 现实主义
Mede | 创作风格 | 立体主义
Mede | 创作风格 | 点彩主义
Mede | 后期创作风格 | 蓝色调
Mede | 后期创作风格 | 白色调
Mede | 宗教信仰 | 福音派基督教
Mede | 创作灵感来源 | 上帝
Mede | 创作特征 | 光点
Mede | 艺术形式 | 雕塑
Mede | has garden | garden in Lilongwe
garden in Lilongwe | has feature | fluorescent light tubes hanging from trees
garden in Lilongwe | has feature | white painted rocks lining the drive and entry
Mede | spouse | Esther
Esther | position held | Principal Secretary for the Ministry of Research and Environmental Affairs
Esther | employed by | Malawi government
Esther | death year | 2009
Richard P. Gabriel | 国籍 | 美国
Richard P. Gabriel | 职业 | 计算机科学家
Richard P. Gabriel | 出生年份 | 1949
Richard P. Gabriel | 研究领域 | Lisp编程语言
Richard P. Gabriel | 创建 | Gabriel Benchmarks
